Animal ID,Animal Name,Animal Type,Primary Color,Secondary Color,Sex,DOB,Age,Intake Date,Intake Condition,Intake Type,Intake Subtype,Reason for Intake,Outcome Date,Crossing,Jurisdiction,Outcome Type,Outcome Subtype,intake_is_dead,outcome_is_dead,was_outcome_alive
A635226,A635226,CAT,ORG TABBY,WHITE,Neutered,6/21/2019,3,10/21/2019,BEHAVIOR  SEVERE,STRAY,TRAP,,10/26/2019,"400 E 55TH ST, LONG BEACH, CA 90805",LONG BEACH,"SHELTER, NEUTER, RETURN",STRAYCATAL,Alive on Intake,FALSE,1
A635249,A635249,CAT,ORANGE,WHITE,Neutered,2/22/2019,4,10/22/2019,FRACTIOUS,STRAY,FIELD,,10/29/2019,"400 BLK E 55TH ST, LONG BEACH, CA 90805",LONG BEACH,"SHELTER, NEUTER, RETURN",STRAYCATAL,Alive on Intake,FALSE,1
A635288,,CAT,CREAM,,Female,10/23/2018,4,10/23/2019,NORMAL,STRAY,OTC,,10/25/2019,"1400 HENDERSON AVE, LONG BEACH, CA 90813",LONG BEACH,RESCUE,LITTLEPAWS,Alive on Intake,FALSE,1
A635292,,CAT,CREAM,WHITE,Male,10/17/2019,3,10/23/2019,UNDER AGE/WEIGHT,STRAY,OTC,,10/25/2019,"1400 HENDERSON AVE, LONG BEACH, CA 90813",LONG BEACH,RESCUE,LITTLEPAWS,Alive on Intake,FALSE,1
A635293,,CAT,CREAM,,Male,10/17/2019,3,10/23/2019,UNDER AGE/WEIGHT,STRAY,OTC,,10/25/2019,"1400 HENDERSON AVE, LONG BEACH, CA 90813",LONG BEACH,RESCUE,LITTLEPAWS,Alive on Intake,FALSE,1
A635322,*SODA POP,CAT,BRN TABBY,,Neutered,7/24/2019,3,10/24/2019,NORMAL,STRAY,OTC,,1/2/2020,"2000 N GOLD STAR DR, LONG BEACH, CA 90810",DISTRICT7,ADOPTION,WALKIN,Alive on Intake,FALSE,1
A635371,,CAT,BLACK,,Male,10/1/2019,3,10/25/2019,UNDER AGE/WEIGHT,STRAY,OTC,,10/25/2019,"300 E LOUISE ST, LONG BEACH, CA 90805",LONG BEACH,RESCUE,LITTLEPAWS,Alive on Intake,FALSE,1
A635394,*BIDDY,CAT,BLACK,WHITE,Female,9/21/2019,3,10/26/2019,ILL MILD,STRAY,OTC,,11/13/2019,"3400 BLK E PACIFIC COAST HWY, LONG BEACH, CA 90804",LONG BEACH,RESCUE,LITTLEPAWS,Alive on Intake,FALSE,1
A635465,,CAT,BRN TABBY,,Female,7/29/2019,3,10/29/2019,INJURED  MODERATE,STRAY,FIELD,,10/30/2019,"3100 E 64TH ST, LONG BEACH, CA 90805",LONG BEACH,EUTHANASIA,ILL SEVERE,Alive on Intake,TRUE,0
A635491,A635491*BIG WAYNE,CAT,ORG TABBY,,Neutered,10/30/2018,4,10/30/2019,NORMAL,STRAY,TRAP,,11/5/2019,"400 BLK DAISY AVE, LONG BEACH, CA 90806",LONG BEACH,"SHELTER, NEUTER, RETURN",STRAYCATAL,Alive on Intake,FALSE,1
