,Animal Name,Primary Color,Secondary Color,Sex,DOB,Age,Intake Date,Intake Condition,Intake Type,Intake Subtype,Reason for Intake,Outcome Date,Crossing,Jurisdiction,Outcome Type,Outcome Subtype,was_outcome_alive,Intake_Date_dt,Outcome_Date_dt,days_in_shelter
0,A635226,ORG TABBY,WHITE,Neutered,2019-06-21,3.0,2019-10-21,BEHAVIOR  SEVERE,STRAY,TRAP,,2019-10-26,"400 E 55TH ST, LONG BEACH, CA 90805",LONG BEACH,"SHELTER, NEUTER, RETURN",STRAYCATAL,1,2019-10-21,2019-10-26,5 days
1,A635249,ORANGE,WHITE,Neutered,2019-02-22,4.0,2019-10-22,FRACTIOUS,STRAY,FIELD,,2019-10-29,"400 BLK E 55TH ST, LONG BEACH, CA 90805",LONG BEACH,"SHELTER, NEUTER, RETURN",STRAYCATAL,1,2019-10-22,2019-10-29,7 days
2,,CREAM,,Female,2018-10-23,4.0,2019-10-23,NORMAL,STRAY,OTC,,2019-10-25,"1400 HENDERSON AVE, LONG BEACH, CA 90813",LONG BEACH,RESCUE,LITTLEPAWS,1,2019-10-23,2019-10-25,2 days
3,,CREAM,WHITE,Male,2019-10-17,3.0,2019-10-23,UNDER AGE/WEIGHT,STRAY,OTC,,2019-10-25,"1400 HENDERSON AVE, LONG BEACH, CA 90813",LONG BEACH,RESCUE,LITTLEPAWS,1,2019-10-23,2019-10-25,2 days
4,,CREAM,,Male,2019-10-17,3.0,2019-10-23,UNDER AGE/WEIGHT,STRAY,OTC,,2019-10-25,"1400 HENDERSON AVE, LONG BEACH, CA 90813",LONG BEACH,RESCUE,LITTLEPAWS,1,2019-10-23,2019-10-25,2 days
5,*SODA POP,BRN TABBY,,Neutered,2019-07-24,3.0,2019-10-24,NORMAL,STRAY,OTC,,2020-01-02,"2000 N GOLD STAR DR, LONG BEACH, CA 90810",DISTRICT7,ADOPTION,WALKIN,1,2019-10-24,2020-01-02,70 days
6,,BLACK,,Male,2019-10-01,3.0,2019-10-25,UNDER AGE/WEIGHT,STRAY,OTC,,2019-10-25,"300 E LOUISE ST, LONG BEACH, CA 90805",LONG BEACH,RESCUE,LITTLEPAWS,1,2019-10-25,2019-10-25,0 days
7,*BIDDY,BLACK,WHITE,Female,2019-09-21,3.0,2019-10-26,ILL MILD,STRAY,OTC,,2019-11-13,"3400 BLK E PACIFIC COAST HWY, LONG BEACH, CA 90804",LONG BEACH,RESCUE,LITTLEPAWS,1,2019-10-26,2019-11-13,18 days
8,,BRN TABBY,,Female,2019-07-29,3.0,2019-10-29,INJURED  MODERATE,STRAY,FIELD,,2019-10-30,"3100 E 64TH ST, LONG BEACH, CA 90805",LONG BEACH,EUTHANASIA,ILL SEVERE,0,2019-10-29,2019-10-30,1 days
9,A635491*BIG WAYNE,ORG TABBY,,Neutered,2018-10-30,4.0,2019-10-30,NORMAL,STRAY,TRAP,,2019-11-05,"400 BLK DAISY AVE, LONG BEACH, CA 90806",LONG BEACH,"SHELTER, NEUTER, RETURN",STRAYCATAL,1,2019-10-30,2019-11-05,6 days
10,A635496*GREYA,BRN TABBY,,Spayed,2019-04-30,4.0,2019-10-30,NORMAL,STRAY,TRAP,,2019-11-14,"800 BLK E SUNRISE BLVD, LONG BEACH, CA 90806",LONG BEACH,"SHELTER, NEUTER, RETURN",STRAYCATAL,1,2019-10-30,2019-11-14,15 days
11,,GRAY,WHITE,Neutered,2016-10-31,6.0,2019-10-31,INJURED  SEVERE,STRAY,FIELD,,2019-10-31,"900 BLK STANLEY AVE, LONG BEACH, CA 90804",LONG BEACH,EUTHANASIA,INJ SEVERE,0,2019-10-31,2019-10-31,0 days
12,,BLACK,WHITE,Female,2014-10-31,8.0,2019-10-31,INJURED  MODERATE,STRAY,FIELD,,2019-10-31,"300 BLK E SOUTH ST, LONG BEACH, CA 90805",LONG BEACH,EUTHANASIA,INJ SEVERE,0,2019-10-31,2019-10-31,0 days
13,,BLACK,WHITE,Male,2019-10-02,3.0,2019-11-02,ILL MILD,STRAY,OTC,,2019-11-03,"1400 BLK ORANGE AVE LB, CA 90813",LONG BEACH,EUTHANASIA,ILL SEVERE,0,2019-11-02,2019-11-03,1 days
14,A635602*CAL,BLACK,,Spayed,2017-11-02,5.0,2019-11-02,NORMAL,STRAY,OTC,,2019-11-05,"400 BLK E 60TH ST, LONG BEACH, CA 90805",LONG BEACH,"SHELTER, NEUTER, RETURN",STRAYCATAL,1,2019-11-02,2019-11-05,3 days
15,,CALICO,,Female,2019-10-03,3.0,2019-11-03,NORMAL,STRAY,OTC,,2019-11-13,"1400 BLK W 34TH ST, LONG BEACH, CA 90810",LONG BEACH,RESCUE,LITTLEPAWS,1,2019-11-03,2019-11-13,10 days
16,*FLINN,LYNX PT,WHITE,Neutered,2019-10-03,3.0,2019-11-03,UNDER AGE/WEIGHT,STRAY,OTC,,2019-11-16,"50 BLK E MARKET ST, LONG BEACH, CA 90805",LONG BEACH,ADOPTION,WALKIN,1,2019-11-03,2019-11-16,13 days
